ID	Year	LocationAbbr	LocationDesc	Class	Topic	Indicator	Response	DataSource	Data_Value_Unit	Data_Value_Type	Data_Value	Data_Value_Footnote_Symbol	Data_Value_Footnote	Low_Confidence_Limit	High_Confidence_Limit	Sample_Size	Stratification	StratificationType	IndicatorId	LocationOrder	ParentStateDisplayOrder	FootnoteType	FootNoteSymbol	FootnoteText	URL	DatasourceAbbr	Agency
522743	2006	US	"All States, DC and Territories (median) **"	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	7.5	**	Median value reported with no confidence intervals			53	Overall	Overall	DIABETE2	1	1						
522286	2006	UW	All States and DC (median) **	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	7.5	**	Median value reported with no confidence intervals			51	Overall	Overall	DIABETE2	2	2						
518267	2006	AL	Alabama	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	10			8.9	11.1	417	Overall	Overall	DIABETE2	3	3						
520341	2006	AK	Alaska	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	5.9			4.6	7.2	144	Overall	Overall	DIABETE2	4	4						
523025	2006	AZ	Arizona	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8.5			7.1	9.9	491	Overall	Overall	DIABETE2	5	5						
525600	2006	AR	Arkansas	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8.1			7.3	8.9	567	Overall	Overall	DIABETE2	6	6						
527645	2006	CA	California	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8.2			7.3	9.1	516	Overall	Overall	DIABETE2	7	7						
529510	2006	CO	Colorado	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	5.3			4.7	5.9	406	Overall	Overall	DIABETE2	8	8						
532242	2006	CT	Connecticut	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	6.4			5.8	7	736	Overall	Overall	DIABETE2	9	9						
534337	2006	DE	Delaware	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8.1			7.1	9.1	419	Overall	Overall	DIABETE2	10	10						
536966	2006	DC	District of Columbia	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8.1			7.1	9.1	367	Overall	Overall	DIABETE2	11	11						
538745	2006	FL	Florida	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8.5			7.8	9.2	1143	Overall	Overall	DIABETE2	12	12						
541963	2006	GA	Georgia	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	9.1			8.3	9.9	955	Overall	Overall	DIABETE2	13	13						
543660	2006	HI	Hawaii	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8.2			7.3	9.1	584	Overall	Overall	DIABETE2	14	14						
546171	2006	ID	Idaho	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	6.8			6	7.6	452	Overall	Overall	DIABETE2	15	15						
548185	2006	IL	Illinois	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8.1			7.2	9	505	Overall	Overall	DIABETE2	16	16						
551066	2006	IN	Indiana	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8.1			7.4	8.8	665	Overall	Overall	DIABETE2	17	17						
552382	2006	IA	Iowa	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	7.3			6.6	8	493	Overall	Overall	DIABETE2	18	18						
554545	2006	KS	Kansas	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	7.3			6.7	7.9	770	Overall	Overall	DIABETE2	19	19						
557217	2006	KY	Kentucky	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	9.9			8.9	10.9	794	Overall	Overall	DIABETE2	20	20						
559866	2006	LA	Louisiana	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	9.2			8.5	9.9	802	Overall	Overall	DIABETE2	21	21						
561942	2006	ME	Maine	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	6.9			6.1	7.7	320	Overall	Overall	DIABETE2	22	22						
563708	2006	MD	Maryland	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	7.9			7.2	8.6	843	Overall	Overall	DIABETE2	23	23						
566280	2006	MA	Massachusetts	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	6.4			5.9	6.9	1202	Overall	Overall	DIABETE2	24	24						
568883	2006	MI	Michigan	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	9			8.2	9.8	628	Overall	Overall	DIABETE2	25	25						
571015	2006	MN	Minnesota	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	5.7			5	6.4	315	Overall	Overall	DIABETE2	26	26						
573222	2006	MS	Mississippi	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	10.9			10	11.8	868	Overall	Overall	DIABETE2	27	27						
575326	2006	MO	Missouri	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	7.4			6.5	8.3	549	Overall	Overall	DIABETE2	28	28						
577329	2006	MT	Montana	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	6.4			5.7	7.1	506	Overall	Overall	DIABETE2	29	29						
580155	2006	NE	Nebraska	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	7.4			6.7	8.1	741	Overall	Overall	DIABETE2	30	30						
582842	2006	NV	Nevada	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	7.5			6.4	8.6	319	Overall	Overall	DIABETE2	31	31						
584514	2006	NH	New Hampshire	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	7.4			6.6	8.2	546	Overall	Overall	DIABETE2	32	32						
587123	2006	NJ	New Jersey	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	7.5			7	8	1337	Overall	Overall	DIABETE2	33	33						
588987	2006	NM	New Mexico	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	7.3			6.6	8	615	Overall	Overall	DIABETE2	34	34						
591625	2006	NY	New York	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	7.6			6.9	8.3	561	Overall	Overall	DIABETE2	35	35						
593333	2006	NC	North Carolina	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	9.1			8.6	9.6	1869	Overall	Overall	DIABETE2	36	36						
595927	2006	ND	North Dakota	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	6.7			5.9	7.5	392	Overall	Overall	DIABETE2	37	37						
598446	2006	OH	Ohio	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	6.7			5.7	7.7	695	Overall	Overall	DIABETE2	38	38						
600669	2006	OK	Oklahoma	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	10			9.2	10.8	871	Overall	Overall	DIABETE2	39	39						
602432	2006	OR	Oregon	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	6.7			6	7.4	428	Overall	Overall	DIABETE2	40	40						
604622	2006	PA	Pennsylvania	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8.5			7.7	9.3	1471	Overall	Overall	DIABETE2	41	41						
610086	2006	RI	Rhode Island	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	7.4			6.5	8.3	421	Overall	Overall	DIABETE2	42	42						
611657	2006	SC	South Carolina	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	9.6			8.9	10.3	1122	Overall	Overall	DIABETE2	43	43						
614184	2006	SD	South Dakota	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	6.5			5.9	7.1	597	Overall	Overall	DIABETE2	44	44						
616658	2006	TN	Tennessee	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	10.7			9.5	11.9	580	Overall	Overall	DIABETE2	45	45						
618284	2006	TX	Texas	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8			7.1	8.9	786	Overall	Overall	DIABETE2	46	46						
620426	2006	UT	Utah	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	5.7			5	6.4	412	Overall	Overall	DIABETE2	47	47						
622826	2006	VT	Vermont	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	5.9			5.3	6.5	539	Overall	Overall	DIABETE2	48	48						
627375	2006	VA	Virginia	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	7.4			6.3	8.5	566	Overall	Overall	DIABETE2	49	49						
629690	2006	WA	Washington	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	7.1			6.7	7.5	2314	Overall	Overall	DIABETE2	50	50						
632249	2006	WV	West Virginia	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	12.1			11	13.2	540	Overall	Overall	DIABETE2	51	51						
635111	2006	WI	Wisconsin	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	6.2			5.5	6.9	417	Overall	Overall	DIABETE2	52	52						
636860	2006	WY	Wyoming	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	6.4			5.7	7.1	391	Overall	Overall	DIABETE2	53	53						
607674	2006	PR	Puerto Rico	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	11.9			10.9	12.9	779	Overall	Overall	DIABETE2	60	60						
625639	2006	VI	Virgin Islands	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	9			7.9	10.1	319	Overall	Overall	DIABETE2	62	62						
