"""ID""",Year,LocationAbbr,LocationDesc,Class,Topic,Indicator,Response,DataSource,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Stratification,StratificationType,IndicatorId,LocationOrder,ParentStateDisplayOrder,FootnoteType,FootNoteSymbol,FootnoteText,URL,DatasourceAbbr,Agency
2269895,2013,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,9.8,,,,,53,Overall,Overall,DIABETE3,1,1,,,,,,
2269724,2013,UW,All States and DC (median) **,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,9.7,,,,,51,Overall,Overall,DIABETE3,2,2,,,,,,
2068918,2013,AL,Alabama,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,13.8,,,12.8,14.9,1209,Overall,Overall,DIABETE3,3,3,,,,,,
2072287,2013,AK,Alaska,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,7.1,,,6,8.1,356,Overall,Overall,DIABETE3,4,4,,,,,,
2076067,2013,AZ,Arizona,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,10.7,,,9.1,12.2,552,Overall,Overall,DIABETE3,5,5,,,,,,
2080066,2013,AR,Arkansas,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,11.5,,,10.4,12.6,803,Overall,Overall,DIABETE3,6,6,,,,,,
2083624,2013,CA,California,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,10.2,,,9.4,11,1242,Overall,Overall,DIABETE3,7,7,,,,,,
2088188,2013,CO,Colorado,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,6.5,,,6,7,1089,Overall,Overall,DIABETE3,8,8,,,,,,
2091733,2013,CT,Connecticut,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,8.3,,,7.6,9.1,833,Overall,Overall,DIABETE3,9,9,,,,,,
2095213,2013,DE,Delaware,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,11.1,,,10,12.2,736,Overall,Overall,DIABETE3,10,10,,,,,,
2098708,2013,DC,District of Columbia,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,7.8,,,6.9,8.7,556,Overall,Overall,DIABETE3,11,11,,,,,,
2103232,2013,FL,Florida,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,11.2,,,10.5,11.9,5189,Overall,Overall,DIABETE3,12,12,,,,,,
2106643,2013,GA,Georgia,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,10.8,,,10,11.6,1159,Overall,Overall,DIABETE3,13,13,,,,,,
2110684,2013,HI,Hawaii,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,8.4,,,7.5,9.3,703,Overall,Overall,DIABETE3,14,14,,,,,,
2113698,2013,ID,Idaho,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,8.4,,,7.5,9.3,640,Overall,Overall,DIABETE3,15,15,,,,,,
2118219,2013,IL,Illinois,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,9.9,,,8.8,10.9,698,Overall,Overall,DIABETE3,16,16,,,,,,
2121974,2013,IN,Indiana,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,11,,,10.3,11.7,1468,Overall,Overall,DIABETE3,17,17,,,,,,
2126387,2013,IA,Iowa,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,9.3,,,8.6,10.1,1006,Overall,Overall,DIABETE3,18,18,,,,,,
2129995,2013,KS,Kansas,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,9.6,,,9.1,10,2832,Overall,Overall,DIABETE3,19,19,,,,,,
2133901,2013,KY,Kentucky,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,10.6,,,9.9,11.4,1649,Overall,Overall,DIABETE3,20,20,,,,,,
2137065,2013,LA,Louisiana,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,11.6,,,10.5,12.8,847,Overall,Overall,DIABETE3,21,21,,,,,,
2140967,2013,ME,Maine,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,9.7,,,8.9,10.4,940,Overall,Overall,DIABETE3,22,22,,,,,,
2144656,2013,MD,Maryland,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,9.8,,,9.1,10.5,1698,Overall,Overall,DIABETE3,23,23,,,,,,
2149070,2013,MA,Massachusetts,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,8.5,,,7.9,9.2,1762,Overall,Overall,DIABETE3,24,24,,,,,,
2153120,2013,MI,Michigan,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,10.4,,,9.7,11,1642,Overall,Overall,DIABETE3,25,25,,,,,,
2156313,2013,MN,Minnesota,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,7.4,,,6.6,8.2,1396,Overall,Overall,DIABETE3,26,26,,,,,,
2159808,2013,MS,Mississippi,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,12.9,,,11.9,13.8,1348,Overall,Overall,DIABETE3,27,27,,,,,,
