"ID";"Year";"LocationAbbr";"LocationDesc";"Class";"Topic";"Indicator";"Response";"DataSource";"Data_Value_Unit";"Data_Value_Type";"Data_Value";"Data_Value_Footnote_Symbol";"Data_Value_Footnote";"Low_Confidence_Limit";"High_Confidence_Limit";"Sample_Size";"Stratification";"StratificationType";"IndicatorId";"LocationOrder";"ParentStateDisplayOrder";"FootnoteType";"FootNoteSymbol";"FootnoteText";"URL";"DatasourceAbbr";"Agency"
"133123";"2009";"AL";"Alabama";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"18.1";"";"";"14.6";"21.7";"238";"Less than $15,000";"Household Income";"DIABETE2";"3";"3";"";"";"";"";"";""
"133124";"2009";"AL";"Alabama";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"16.4";"";"";"13.4";"19.4";"254";"$15,000-$24,999";"Household Income";"DIABETE2";"3";"3";"";"";"";"";"";""
"133125";"2009";"AL";"Alabama";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"17.1";"";"";"13.0";"21.2";"118";"$25,000-$34,999";"Household Income";"DIABETE2";"3";"3";"";"";"";"";"";""
"133126";"2009";"AL";"Alabama";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"9.8";"";"";"7.4";"12.1";"107";"$35,000-$49,999";"Household Income";"DIABETE2";"3";"3";"";"";"";"";"";""
"133127";"2009";"AL";"Alabama";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"7.6";"";"";"6.0";"9.1";"170";"$50,000+";"Household Income";"DIABETE2";"3";"3";"";"";"";"";"";""
"134467";"2009";"AK";"Alaska";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"7.5";"";"";"3.3";"11.8";"20";"Less than $15,000";"Household Income";"DIABETE2";"4";"4";"";"";"";"";"";""
"134468";"2009";"AK";"Alaska";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"5.3";"";"";"2.5";"8.0";"24";"$15,000-$24,999";"Household Income";"DIABETE2";"4";"4";"";"";"";"";"";""
"134469";"2009";"AK";"Alaska";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"8.2";"";"";"2.7";"13.6";"15";"$25,000-$34,999";"Household Income";"DIABETE2";"4";"4";"";"";"";"";"";""
"134470";"2009";"AK";"Alaska";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"6.3";"";"";"2.8";"9.8";"29";"$35,000-$49,999";"Household Income";"DIABETE2";"4";"4";"";"";"";"";"";""
"134471";"2009";"AK";"Alaska";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"5.8";"";"";"3.9";"7.8";"67";"$50,000+";"Household Income";"DIABETE2";"4";"4";"";"";"";"";"";""
"137918";"2009";"AZ";"Arizona";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"11.9";"";"";"6.8";"17.1";"123";"Less than $15,000";"Household Income";"DIABETE2";"5";"5";"";"";"";"";"";""
"137919";"2009";"AZ";"Arizona";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"12.7";"";"";"8.7";"16.7";"133";"$15,000-$24,999";"Household Income";"DIABETE2";"5";"5";"";"";"";"";"";""
