,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Alabama,85,16,17,25,1,6.0,2.0,9.0,80.0,65.0,74.0,58.0,15.0,7.0,7.0,0,7,9,9,54,76.0,1.0,0.0,3.0,0.0,0.0,6.0,33.0,15.0,0.0,,,,,
Alaska,77,24,20,17,0,3.0,3.0,3.0,55.0,0.0,,,,,,0,7,14,7,96,,,,,,,,,,,,,,,
Arizona,70,16,16,21,0,5.0,1.0,5.0,75.0,47.0,66.0,49.0,14.0,3.0,5.0,0,4,8,7,56,76.0,2.0,1.0,1.0,0.0,0.0,8.0,53.0,9.0,0.0,,,,,
Arkansas,78,22,22,25,1,3.0,2.0,3.0,98.0,57.0,93.0,57.0,21.0,5.0,5.0,3,14,11,14,70,89.0,3.0,3.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,,
California,66,13,15,16,1,5.0,2.0,3.0,60.0,41.0,57.0,37.0,12.0,4.0,4.0,0,3,8,6,39,63.0,0.0,0.0,1.0,0.0,18.0,4.0,36.0,17.0,0.0,,,,,
Colorado,62,12,13,17,1,4.0,1.0,3.0,61.0,50.0,57.0,40.0,8.0,4.0,4.0,0,4,7,3,52,69.0,1.0,0.0,3.0,0.0,0.0,7.0,25.0,4.0,0.0,,,,,
Connecticut,71,15,18,16,1,5.0,1.0,4.0,57.0,51.0,61.0,35.0,25.0,4.0,4.0,0,4,3,8,54,62.0,2.0,0.0,3.0,0.0,0.0,9.0,41.0,18.0,0.0,,,,,
Delaware,85,13,16,15,0,10.0,0.0,3.0,71.0,0.0,,,,,,0,0,23,15,59,,,,,,,,,,,,,,,
District of Columbia,66,15,12,15,0,5.0,1.0,3.0,49.0,46.0,56.0,38.0,7.0,2.0,5.0,0,5,10,4,51,65.0,0.0,0.0,1.0,0.0,0.0,5.0,34.0,15.0,0.0,,,,,
Florida,69,14,15,17,0,7.0,2.0,3.0,69.0,44.0,62.0,43.0,15.0,3.0,4.0,0,4,6,8,48,60.0,1.0,0.0,1.0,0.0,9.0,5.0,45.0,14.0,0.0,8.0,0.0,23.0,0.0,0.0
Georgia,68,16,14,16,1,5.0,1.0,3.0,57.0,43.0,57.0,45.0,12.0,4.0,3.0,1,4,6,5,42,62.0,1.0,0.0,2.0,0.0,15.0,4.0,41.0,14.0,0.0,0.0,0.0,12.0,0.0,0.0
Hawaii,76,14,18,14,0,0.0,0.0,3.0,65.0,48.0,68.0,28.0,19.0,3.0,5.0,0,7,11,7,50,,,,,,,,,,,,,,,
Idaho,85,17,14,25,1,13.0,0.0,2.0,90.0,51.0,100.0,70.0,17.0,8.0,8.0,0,0,0,5,57,,,,,,,,,,,,,,,
Illinois,69,14,15,16,1,5.0,1.0,3.0,59.0,50.0,64.0,46.0,11.0,4.0,4.0,0,2,9,5,50,58.0,1.0,0.0,1.0,0.0,12.0,5.0,43.0,13.0,0.0,0.0,0.0,9.0,0.0,0.0
Indiana,85,17,19,24,1,7.0,1.0,7.0,71.0,91.0,84.0,52.0,15.0,10.0,8.0,0,5,10,12,64,81.0,1.0,1.0,2.0,0.0,0.0,2.0,47.0,12.0,0.0,,,,,
Iowa,70,13,16,20,1,5.0,5.0,4.0,80.0,61.0,81.0,52.0,15.0,5.0,4.0,0,2,5,12,70,64.0,2.0,0.0,0.0,0.0,0.0,4.0,56.0,0.0,0.0,,,,,
Kansas,73,16,15,21,1,5.0,2.0,3.0,64.0,46.0,67.0,55.0,14.0,8.0,4.0,0,2,11,2,56,75.0,0.0,0.0,0.0,0.0,0.0,7.0,45.0,19.0,0.0,,,,,
Kentucky,78,19,16,25,0,7.0,4.0,2.0,91.0,53.0,55.0,50.0,11.0,3.0,5.0,0,5,10,3,68,62.0,1.0,0.0,1.0,0.0,0.0,6.0,49.0,11.0,0.0,,,,,
Louisiana,70,18,18,20,1,4.0,1.0,2.0,78.0,47.0,69.0,54.0,17.0,4.0,5.0,0,7,3,8,73,69.0,0.0,0.0,0.0,0.0,0.0,2.0,51.0,10.0,0.0,,,,,
Maine,76,12,17,20,1,2.0,0.0,4.0,84.0,0.0,63.0,48.0,19.0,4.0,6.0,0,4,18,5,100,,,,,,,,,,,,,,,
Maryland,82,14,16,17,1,6.0,5.0,3.0,74.0,53.0,69.0,41.0,15.0,4.0,4.0,0,4,9,7,67,70.0,2.0,0.0,0.0,0.0,0.0,7.0,39.0,15.0,0.0,,,,,
Massachusetts,71,13,16,19,0,4.0,1.0,4.0,54.0,47.0,62.0,36.0,11.0,3.0,6.0,0,6,10,7,49,55.0,0.0,0.0,2.0,0.0,0.0,3.0,37.0,25.0,0.0,,,,,
Michigan,70,16,15,18,1,6.0,2.0,3.0,65.0,44.0,65.0,44.0,13.0,5.0,3.0,0,3,9,5,50,64.0,1.0,0.0,1.0,0.0,0.0,5.0,51.0,17.0,0.0,,,,,
Minnesota,75,14,17,21,1,8.0,4.0,4.0,56.0,59.0,65.0,46.0,14.0,6.0,4.0,0,1,6,7,54,86.0,1.0,0.0,3.0,0.0,0.0,7.0,48.0,7.0,0.0,,,,,
Mississippi,92,22,15,20,1,11.0,1.0,8.0,85.0,52.0,71.0,47.0,26.0,4.0,10.0,0,10,3,7,38,73.0,3.0,0.0,3.0,0.0,,,,,,0.0,0.0,100.0,0.0,0.0
Missouri,74,14,17,20,1,6.0,2.0,6.0,72.0,66.0,67.0,43.0,15.0,4.0,3.0,1,5,7,7,64,93.0,0.0,1.0,2.0,0.0,0.0,12.0,49.0,20.0,0.0,,,,,
Montana,79,13,24,22,0,0.0,0.0,4.0,82.0,0.0,83.0,43.0,21.0,3.0,0.0,0,0,8,8,34,,,,,,,,,,,,,,,
Nebraska,76,18,14,17,1,6.0,0.0,3.0,62.0,58.0,78.0,48.0,22.0,5.0,10.0,0,3,9,9,78,,,,,,0.0,5.0,45.0,0.0,0.0,,,,,
Nevada,75,14,12,18,0,3.0,1.0,2.0,90.0,58.0,64.0,46.0,16.0,2.0,5.0,2,2,5,7,47,58.0,0.0,0.0,2.0,0.0,0.0,0.0,35.0,0.0,0.0,,,,,
New Hampshire,69,17,16,18,0,4.0,0.0,5.0,79.0,40.0,72.0,60.0,9.0,2.0,3.0,0,0,8,12,49,,,,,,,,,,,,,,,
New Jersey,75,14,15,19,1,6.0,1.0,4.0,70.0,39.0,59.0,40.0,15.0,4.0,7.0,1,2,6,6,69,70.0,0.0,0.0,1.0,0.0,19.0,1.0,38.0,27.0,0.0,,,,,
