,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Alabama,84,34,20,28,1,3,1,1,71,38,89.0,36.0,12.0,5.0,5.0,0,9,30,14,45,69.0,1.0,0.0,1.0,0.0,0.0,1.0,75.0,12.0,0.0,,,,,
Alaska,86,29,17,18,0,3,0,3,100,0,,,,,,0,0,0,73,91,,,,,,,,,,,,,,,
Arizona,91,23,22,26,1,2,2,1,84,33,93.0,35.0,13.0,4.0,3.0,1,7,15,31,56,60.0,1.0,0.0,1.0,0.0,0.0,4.0,49.0,9.0,0.0,,,,,
Arkansas,79,27,18,28,1,4,1,1,75,35,80.0,42.0,9.0,3.0,4.0,0,0,20,29,57,68.0,1.0,1.0,1.0,0.0,0.0,10.0,48.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
California,81,20,20,21,1,2,1,2,68,30,70.0,31.0,12.0,3.0,4.0,1,5,15,27,45,57.0,0.0,0.0,2.0,0.0,17.0,3.0,50.0,16.0,0.0,,,,,
Colorado,74,19,19,21,1,1,1,1,72,36,65.0,29.0,9.0,4.0,4.0,0,6,11,47,54,57.0,1.0,0.0,2.0,0.0,0.0,4.0,40.0,11.0,0.0,,,,,
Connecticut,90,18,21,24,1,3,2,3,62,33,67.0,27.0,15.0,4.0,6.0,0,9,20,37,68,51.0,1.0,1.0,3.0,0.0,0.0,6.0,57.0,21.0,0.0,,,,,
Delaware,89,24,21,29,1,3,0,2,57,0,,,,,,0,0,41,11,100,,,,,,,,,,,,,,,
District of Columbia,75,18,17,21,1,3,2,2,56,30,69.0,30.0,7.0,3.0,4.0,0,2,20,36,80,47.0,0.0,0.0,0.0,0.0,0.0,3.0,48.0,17.0,0.0,,,,,
Florida,79,21,19,23,1,2,1,2,69,29,68.0,29.0,16.0,4.0,4.0,2,6,10,27,34,59.0,1.0,0.0,1.0,0.0,19.0,4.0,45.0,13.0,0.0,0.0,0.0,0.0,10.0,0.0
Georgia,82,24,18,23,1,3,1,2,64,34,67.0,32.0,13.0,3.0,4.0,0,10,8,27,46,53.0,1.0,0.0,2.0,0.0,19.0,3.0,63.0,11.0,0.0,,,,,
Hawaii,84,20,21,21,0,5,0,0,81,24,67.0,32.0,12.0,3.0,7.0,0,18,13,26,61,,,,,,,,,,,,,,,
